StopCode	StopNameMarathi
1	कोलाबा बस स्थानक
2	ससुन गोदाम
3	स्ट्रँड सिनेमा
4	कुलाबा आगार
5	डॉ. एस.पी.मुखर्जी चौक/म्युझियम
7	हुतात्मा चौक
8	खादि भंडार
9	मुंबई छ.शि.ट
10	महात्मा फुले बाजार
11	चकाला मार्केट
12	झाकेरीया मस्जिद
13	मिनारा मस्जीद
14	जोहार चौक
15	डा. एम.इकबाल चौक
16	न्यु नागपाडा
17	ए. एच. अन्सारी चौक
18	भायखळा स्थानक (पू)
19	जिजामाता उद्यान
20	जयहिंद सिनेमा
22	संत जगनाडे चौक
23	भारतमाता सिनेमा
24	परेल वर्कशाप
25	मडकेबुवा चौक
26	हिंदमाता सिनेमा
27	शिंदे वाडि
28	चित्रा सिनेमा
29	खोदादाद सर्कल
30	विर कोतवाल उद्यान/ दादर स्थानक/ प्लाझा
31	राम गणेश गडकरी चौक (शिवाजी पार्क)
32	सिटीलाईट सिनेमा
33	शितलादेवी मंदिर
36	माहिम बस स्थानक
37	आर.सी.चर्च
39	पायल
40	अफगान चर्च
44	माहिम
45	टेलीफोन एक्सचेंज बांद्रा
46	अक्षया (बांद्रा)
47	पारिजात बांद्रा
48	युनीट ट्रस्ट आफ इंडिया
49	बांद्रा रिक्लेमेशन बस स्थानक
50	मंत्रालय
54	कॉमरेड.गुलाबराव गणाचार्या चौक
55	एन.एम जोशी  मार्ग पोलिस स्टेशन
56	लोअर परेल स्थानक
57	दिपक सिनेमा
60	जखादेवी
62	कला नगर
63	खेत वाडी
64	कार्डीनल ग्रेसिअस स्कुल/ टिचर्स वसाहत
66	विलेपार्ले सब-वे
67	गुजरात सोसायटी/ द्यालदास रोड 
68	साठे महाविद्यालय
70	हनुमान सोसायटी बिल्डिंग न.5
71	मात्रुछाया
72	सुभाष मार्ग,पार्ले
74	शिवाजी चौक, अंधेरी
75	विजय नगर सोसायटी, अंधेरी
76	आगरकर चौक
77	भायखळा स्थानक (प)
78	परल एस.टी. आगार/ संत रोहिदास चौक
79	वाकोला पोलिस स्टेशन
80	पार्ले टिळक शाळा
83	प्रबोधन ठाकरे चौक
86	एन.ए.व्हि. सोसायटी
87	नेव्ही नगर, कोलाबा
89	धोबी घाट (कोलाबा)
91	लायन्स गेट
92	ओल्ड कस्टम हाउस
93	न्यु कस्टम हाउस
94	
98	संत.मेरी विद्यालय
99	माझगाव न्यायालय
100	महाराना प्रताप चौक माझगाव
101	अंजीर वाडी
102	मुस्ताफा बाजार / सावल्या तांदेळ चौक
104	संत सावता मार्केट
105	रोबर्ट गोम्स चौक भायखळा
106	मसिना हॉस्पिटल / रुस्तोम बाग
108	बांद्रा टॉकिज
109	खार
110	संत. टेरेसा कॉन्व्हेंट स्कुल
112	खिरा नगर
113	सांताक्रुझ आगार
114	नानावटी हॉस्पिटल
115	विलेपार्ले
116	येरला
118	शॉपर्स स्टॉप अंधेरी
119	अंधेरी स्टेशन (प)
120	अंधेरी मार्केट
121	आंबोली नाका
122	जोगेश्वरी बस स्थानक
123	जोगेश्वरी दुरध्वनी केंद्र
124	अजित ग्लास कारखाना
125	ओशिवारा ब्रिज
126	बे.स्ट नगर
128	गोरेगाव / ओशिवारा आगार
130	के.सी. कॉलेज
131	अहिल्याबाइ होळकर चौक
132	सांताक्रुझ पोलिस स्टेशन
134	जुहु कोळीवाडा
135	जुहु तारा
136	रॉयल होटेल जुहु
137	जुहु बिच
139	डॉ. आंबेडकर पुतळा (चर्चगेट)
140	मुंबई जिमखाना
142	कालबा देवी
143	स्वदेशी मार्केट 
144	भुलेश्वर
145	विजर वल्लभ चौक
147	रुइया कॉलेज
148	कपोल निवास / जे. न. वर्मा चौक
149	महेश्वरी उद्यान
150	गांधी मार्केट माटुंगा
151	लोकमान्य टिळक हॉस्पीटल
152	जैन सोसायटी
155	हाय-वे अपार्टमेंट
156	चुनाभट्टी
160	टाटा वसाहत चुनाभट्टी
161	शिव स्रुष्टी
162	कुर्ला एस. टी. आगार
163	नाईक नगर
164	कामगार नगर
165	नेहरु नगर
169	कुर्ला बस स्टेशन (पू)
170	भायखळा स्थानक (प)
171	प्रियदर्शनी चुनाभट्टी
173	सुमन नगर
174	उमर्शी बाप्पा चौक
175	भक्ती भवन
176	बसन्त पार्क
177	नवजीवन सोसायटी
178	चेंबुर वसाहत
179	मारवळी चौक
180	अझीझ बाग
181	वाशी नाका
182	शंकर मंदिर
184	कॅलीको मिल्स
185	बि.डी.पाटिल मार्ग / एच.पी.सि.ल (चेंबुर)
186	भारत पेट्रोलिअम चेंबुर
187	गवानगाव / रिफायनरिज
188	लुबे इंडिया कंपनी
189	टाटा पावर स्टेशन
191	धनमील नाका
192	एच.पी. नगर
193	आचार्य विद्यानिकेतन
194	वडाळा  रोड माहुल
195	माझगाव डॉक(माहुल)
196	माहुल गाव
197	चेबुर नाका / स्वामी विवेकानंद चौक
198	सांडु वाडी
199	आचार्य गार्डन / डायमन्ड गार्डन
201	डॉ. आंबेडकर गार्डन
202	जी.टी. हॉस्पिटल
203	महात्मा गांधी हॉस्पिटल
204	के.इ.एम. हॉस्पीटल
205	भोइ वाडा
207	स्प्रिंग मिल
208	सहकार नगर(वडाळा)

209	माधव नगर
210	आझाद नगर(वडाळा)

212	वडाळा (पू)
214	आमुलाख शाळा
215	डॉन बॉस्को शाळा, माटुंगा
216	माटुंगा पोलिस स्टेशन
217	गुरु तेघ बहाद्दुर नगर स्टेशन
218	सरदार नगर नं.2
219	सरदार नगर नं.4
220	अँटोप हिल चर्च
221	अँटोप हिल पोलिस स्टेशन
222	सी.जी.एस. डिस्पेन्सरी
223	काने नगर
224	अँटोप हिल
225	अँटोप हिल पोस्ट कार्यालय
226	इंडीयन ओइल आगार
227	वडाळा उड्डाणपुल
228	कोर्बा मिठागर
230	नाडकर्नी पार्क
232	टाटा हॉस्पिटल
233	बॅकबे आगार
234	प्रेसिडेंट होटेल
235	बाधवार पार्क / मच्छिमार नगर
238	लायन्स पार्क
239	कुर्ला पोस्ट कार्यालय
240	गोल इमारत
241	अंजनाबाइ मगर
242	कुर्ला आगार
243	शितल सिनेमा
244	कमानी
245	मुकुंद कंपनी
246	नारायन नगर
248	चिराग नगर
249	घाटकोपर पोलिस स्टेशन
250	घाटकोपर पाईप लाइन
251	सर्वोद्य हॉस्पिटल
253	गोपाळ भुवन
254	श्रेयस सिनेमा
255	दर्गाह विक्रोळी
257	विक्रोळी आगार
258	धोबी घाट( कफ परेड)
259	नित्यानंद नगर
260	लक्ष्मी नगर
262	मानेकलाल महानगरपालिका शाळा
263	जाग्रुती नगर
264	जांभुळ पाडा
265	बर्वे नगर
266	महानगरपालिका हॉस्पिटल
267	शिवाजी मैदान
268	पार्क साइट
271	दारु खाना
273	तानाजी म. चौक
275	टँक बंदर
276	शिवडी स्थानक (प)
277	जाकेरिया बंदर
278	शिवाजी नगर शिवडी
279	न्द्यानेश्वर नगर
280	किडवाइ नगर
281	वडाळा स्थानक(प)
282	घाटकोपर स्थानक (प)
286	धारावी आगार
288	गांधी नगर, बांद्रा
290	बांद्रा वसाहत
291	सिंधी वसाहत
292	मेहराबाद बाग
293	महात्मा गांधी विद्यालय जोगेश्वरी
294	मदिना मंजिल
295	बेहराम बाग
296	गोरेगाव / ओशिवारा आगार
297	आणीक आगार
298	कफ परड पोलिस स्टेशन
299	वर्ल्ड ट्रेड सेंटर
300	जी.डी.सोमानी स्कुल
301	बे.स्ट वसाहत भोइवाडा
303	टी.बी. हॉस्पिटल
304	वडाळा चर्च
305	राणि लक्ष्मीबाई चौक / शीव
307	प्रतिक्षा नगर आगार
308	मेकर टॉवर
311	एन.सी.पी.ए
313	समाज मंदिर हॉल प्रतिक्षा नगर
315	टँन्झीट कँप डिस्पेन्सरी
317	बे.स्ट रिसीव्हिंग सेंटर
319	एस.जी. बर्वे मार्ग जंक्शन / कुर्ला
321	अमर महाल
322	घाटकोपर सोनापुर
323	गरोडीया नगर
324	पंत नगर
325	पंत नगर पोलीस स्टेशन
326	मराठी विद्यालय
328	विक्रोळी गाव(पू)
331	विकास विद्यालय
333	घाटकोपर आगार / कॅसेरुना
335	मांडवी पोस्ट कार्यालय
336	फाइव्ह गार्डनस
337	शिवाजी नगर टर्मीनस
339	सुभाष नगर चेंबुर
340	आचार्य मराठे महाविद्यालय
341	सम्राट अशोक नगर
342	गौतम नगर/ देवनार कत्तलखाना
343	शिवाजी नगर जंक्शन 
344	ट्रॉम्बे
345	गांधी मार्केट चेंबुर
346	आर.सी.एफ वसाहत / गोल्फ क्लब
347	वाडवली गाव / बोर्ला सोसायटी
348	बसंत टॉकिज
349	पंजारा पोल
350	देवनार आगार
351	पंजाब वाडी
352	टेलीकॉम फॅक्टरी
353	राज कपुर चौक / भाभा हॉस्पिटल
354	अणुशक्ती नगर
355	मानखुर्द स्टेशन रोड(द)
356	मंडाला
357	चिता कॅम्प
358	मुक्ताबाई हॉस्पीटल
359	मरोळ मरोशी
360	बैल बाजार
361	जरी मरी
362	सफेद पुल
363	साकी नाका
364	मित्तल इस्टेट
365	मरोळ नाका
366	मरोळ गाव
367	बोरोसील ग्लास फॅक्टरी
368	विहार तलाव
369	स्टेट बँक आफ इंडीया अंधेरी
370	चांदिवली जंक्शन
371	इ.एस.आय.एस लोकल कार्यालय पवइ
372	डॉ. आंबेडकर उद्यान (पवइ)
374	मोराजी नगर
375	नीती
376	भांडुप गाव (पू)
378	आर.टी. ओ. कार्यालय घाटकोपर
379	रमाबाइ नगर
380	नालंदा सोसायटी घाटकोपर
381	गोदरेज सोप कंपनी
382	आशा उषा ईस्टेट
384	मिलिटरी कॅन्टीन
385	पेपर मिल
386	हिंदुस्तान कंपनी
387	गांधी नगर विक्रोळी
388	टागोर नगर जंक्शन
389	मनसुख कंपनी
390	कांजुर गाव
391	अंकुर हॉस्पीटल
392	क्रॉम्प्टन ग्रिव्हज भांडुप
393	आदर्श विद्यालय
394	सी.जी.एस. वसाहत
395	भांडुप स्थानक (पू)
396	वरळी आगार
397	वैशाली नगर भांडुप
399	पासपोर्ट कार्यालय
400	बाबासाहेब वरळीकर चौक
401	गॅमोन हाउस
402	प्रभादेवी
403	सिद्धीविनायक मंदिर
404	अगार बाझार
405	रानडे रोड दादर
406	हुमा टॉकिज
407	डॉकयार्ड वसाहत / कांजुरमार्ग स्थानक
408	सिबा कंपनी
409	बिर्ला कंपनी
410	मंगतराम पेट्रोल पंप
411	जनता मार्केट भांडुप
412	भांडुप स्थानक (प)
413	भांडुप पोलीस स्टेशन
414	कस्तुरी विद्यालय
415	उषा नगर
416	भांडुप गाव(प)
418	सुभाष नगर नाहुर
420	सर्वोद्य पार्श्वनाथ नगर मुलुंड
423	संत. पायस स्कुल मुलुंड
424	साइ धाम मुलुंड
426	विद्याबेन गार्डी स्कुल
428	कालिदास नाट्यग्रुह
430	मुलुंड स्थानक (प)
434	इ.एस.आय.एस हॉस्पीटल मुलुंड
435	गोवर्धन नगर / गॅब्रीयल कंपनी
436	संतोषी माता मंदिर मुलुंड
437	के.इ.व्ही.अ. फ्राग्रानेस
438	जे.व्ही.पी.डी. स्थानक
439	मरीन लाइन्स रेलवे स्थानक
440	एस.के. पाटील उद्यान
442	सुख सागर
443	बाबुलनाथ
444	नालंदा पेद्दार रोड
445	कम्बाला हिल पोस्ट कार्यालय
446	जसलोक हॉस्पीटल
448	लाला लजपतराय महाविद्यालय
449	नेहरु तारांगण
450	पुनम चेंबर / शिवसागर इस्टेट
451	एस.टी. कार्यालय / जरीमरी मंदीर
452	आचार्य अत्रे चौक
453	गांधी मैदान वरळी
454	कॉ. पी.के.कुरने चौक
455	दुरदर्शन 
456	सासमीरा
457	जरी मरी मंदिर
458	नॅशनल महाविद्यालय
459	खार दुरध्वनी केंद्र
460	खार स्थानक (प)
461	रामक्रुष्ण मिशन
462	दत्ता अपार्टमेंट
463	राजेश खन्ना गार्डन
467	बालकांजी बारी स्कुल
468	जुहु होटेल
469	जुहु बस स्थानक
470	पारसी वसाहत जुहु
471	भारतीय आरोग्य निधी हॉस्पीटल
473	वडाळा आगार
474	शांग्रीला कंपनी
476	डॉ. के.बी. हेडगेवार चौक
477	मुलुंड गोरेगाव लिंक रोड
478	अंबिका नगर
479	उर्बन को.ओप. बँक
480	मुलुंड सोनापुर
481	महानगरपालिका शाळा मुलुंड
483	मुंबइ सेट्रल आगार
484	मॅराथॉन चौक
485	मुंबइ सेट्रल स्थानक
486	नायर हॉस्पीटल
487	आग्रिपाडा पोलीस स्टेशन
488	गाडगे महाराज चौक
489	कस्तुरबा गांधी हॉस्पीटल
491	रॅली वूल्फ
492	जोहन्सन कंपनी
494	मुलुंड बस स्थानक (प)
495	वागळे इस्टेट पोस्ट कार्यालय
496	सात बंगला स्थानक
497	शासकीय लॉ महाविद्यालय
498	जिमखाना(मरीन लाइन्स)
499	तारापोरवाला मत्स्यालय
500	विल्सन महाविद्यालय
501	नाना चौक
502	भाटीया हॉस्पीटल
503	वसंतराव नाइक चौक
504	ए.सी. मार्केट 
506	मिठीबाइ महाविद्यालय
507	डॉ. कुपर हॉस्पीटल
509	ए.एस.आय.सी. नगर
511	इंडियन ओइल नगर
513	बॅलार्ड पियर
514	साइ धाम ग्रँट रोड
517	खार पोलीस स्टेशन
518	दक्षीण-उत्तर मार्ग न.9
520	गुरु नानक मार्ग
522	गोरेगाव बस स्थानक(प)
523	पोद्दार हॉस्पीटल
524	पोलीस वसाहत वरळी
525	जुने खार
527	जुहु शॉपींग सेंटर
528	न्यु डी. एन. नगर
529	डी.एन. नगर / बाफरीवाला विद्यालय
530	जीवन नगर
531	लक्ष्मी इंडस्ट्रीयल इस्टेट
532	मोन्जीनिस केक कंपनी
533	आई तुळजाभवानी चौक / लोखंडवाला कॉम्ल्पेक्स
534	आदर्श नगर (ओशिवारा)
535	स्काउट कॅम्प
536	आनंद नगर (ओशिवारा)
538	विवेक विद्यालय
540	जैन मंदिर गोरेगाव
541	पी. ठाकरे उद्यान बस स्थानक शिवडी
542	मालवणी आगार / गायकवाड नगर
543	शिवडी नाका
544	परेल गाव
545	हाफकिन इस्टिंट्युट
549	शारदाश्रम विद्यामंदीर
550	दादर कबुतरखाना
551	आर्य समाज
554	गोल्डन टोबॅक्को
555	फारुख विद्यालय
556	जोगेश्वरी तबेला
557	राम मंदिर गोरेगाव
558	सहारा
559	गोरेगाव पोलीस स्थानक
560	जवाहर नगर
561	फिल्मीस्तान
562	पाटकर महाविद्यालय
564	चिंचोळी फाटक / सर्वोद्य स्कुल
565	चिंचोळी बंदर रोड
566	काच पाडा
567	एव्हरशाइन नगर
568	मीठ चौकी मालाड
569	अस्मीता ज्योती
570	फायर ब्रिगेड / खरोदी वसाहत
571	मालवणी ब्लॉक नं.5
572	मालवणी ब्लॉक नं.6
573	मालवणी ब्लॉक नं.7
574	दिंडोशी बस स्थानक
576	खेड गल्ली
577	मराठा वसाहत
578	न्य आग्रिपाडा
580	पारसी वाडा अंधेरी
581	चकाला सिगारेट कारखाना
582	सहार पी. टी. वसाहत नं. 1 & 2
585	वेयर हाउस
587	सहार पोलीस स्टेशन
588	छ. शिवाजी इंटरनॅशनल विमानतल (सहार)
589	जे. मेहता मार्ग
590	कुर्ला स्थानक (प)
591	प्रेम नगर नापीअन समुद्र
592	नारायण दाभोलकर मार्ग
593	दर्या महल 
594	पेटिट महाल
595	प्रियदर्शनी नेपिअन सी. रोड
596	पेट्रोल पंप / महेश्वरी महल
597	मुकेश चौक
598	पारसी जनरल हॉस्पीटल
599	ब्रिच कॅन्डी हॉस्पीटल
600	मफतलाल पार्क
601	महालक्ष्मी मंदीर
602	वाकोला पाइप लाइन
603	मिलीटरी कॅम्प
604	कलीना
605	विद्या नगरी
606	नफा
607	अमर ब्रास & स्टिल कंपनी
608	मेट्रो प्लेयींग कार्डस
610	बुद्ध नगर
611	मेहताब लेन
612	जुहु प्रभात
613	अभिषेक अपार्टमेंटस
614	वर्सोवा लिंक रोड
615	वर्सोवा व्ह्यूव
616	आर.टी.ओ. / न्यु विकास हौसींग सोसायटी अंधेरी
617	दुरध्वनी केंद्र चार बंगला
618	श्री स्वामी समर्थ नगर
620	सिप्झ बस स्थानक
622	विले पार्ले स्थानक (पू)
623	पार्लेश्वर मंदीर
624	विशाल सभाग्रुह / प्रकाश स्टुडीओ
625	नटराज स्टुडीओ
627	चकाला 
628	नेलको
629	मरोल आगार
630	इ.एस.आय.एस हॉस्पीटल अंधेरी
632	डोमेस्टीक विमानतळ
633	संभाजी नगर(पार्ले)
634	हनुमान रोड
635	बहार सिनेमा
636	दर्पन सिनेमा
638	शंकर वाडी
639	इस्माइल युसुफ महाविद्यालय
640	जोगेश्वरी पोलीस स्टेशन
641	जय कोच / एस.आर.पी कॅम्प
642	महानंदा
643	वनराइ / म्हाडा वसाहत
644	गोरेगाव चेक नाका न.1
645	बी.एस.इ.एस. सांताक्रुझ
646	विरवानी इस्टेट
647	जनरल. अ. के. वैद्य मार्ग जंक्शन
652	पठान वाडी
653	कुरार गाव
654	पुष्पा पार्क
655	बडोंग्री
656	बी.एच.अ.डी. वसाहत
657	दत्तानी पार्क
658	मागाठाणे दुरध्वनी केंद्र
659	मागाठाणे आगार
660	देवी पाडा
661	ओमकारेश्वर मंदिर
662	शारदा सिनेमा
663	महन्त रोड
665	फेरी
666	पं. पलुस्कर चौक
667	मालेत बंदर
668	रेलवे क्रॉसींग डॉकयार्ड
669	निर्माण भवन
670	माझगाव गोदी(माझगाव)
671	डॉकयार्ड रोड रेलवे स्टेशन
672	इन्स्पेक्टर काकलीस चौक
673	सेंट्रल रेलवे गुड्स शेड
674	वाडी बंदर
675	प्रिंसेस गोदी
676	लोह भवन
677	कर्नाक बंदार
678	मुसाफिर खाना
679	चिरा बाजार
680	प्रिंसेस स्ट्रीट
682	ठाकुरव्दार
683	गाय वाडी (गिरगाव)
684	नवाब टँक मार्ग
685	ताड वाडी
686	नूर मार्ग
687	सँडहर्स्ट स्थानक रोड
688	चिंच बंदर
689	डोंगरी
690	खांबेकर रस्ता
691	गोल मंदीर
692	अलंकार टॉकीज
693	खेतवाडी
695	सेंट्रल टॉकीज
696	नोव्हेल्टी सिनेमा
697	महालक्ष्मी स्थानक
698	फेमस स्टुडीओ
699	अंबिका मिल्स / किंग जॉर्ज इन्फेरनरी
700	जिजामाता नगर वरली
701	म्युनीसीपल वसाहत वरली
705	आर.बी.आय (फोर्ट)
706	इंदिरा गोदी
707	अग्नीशमन दल फोर्ट
708	बे.स्ट पावर हाउस (कुसारा)
710	श्रावन येशवंते चौक
711	हाकोबा ( काला चौकी)
712	वरली गाव
713	डाउन मिल
714	गोपीक्रीष्ण पिरामल हॉस्पीटल
715	श्री राम मील
716	गांधी नगर वरली
718	आदर्श नगर (वरली)
719	उमर खाडी
720	राठोड मार्ग डॉकयार्ड
721	बी.पी.टी. वसाहट ( माझगाव)
722	काळा चौकी
724	जुबीली मील्स
725	स्वान मील्स
727	दादर पोस्ट कार्यालय
728	मच्छिमार नगर महिम
734	रे रोड पुल
735	माफतलाल मील
738	शिवडी रेलवे फाटक
749	मोती सिनेमा
751	चौपाटी
754	च्रिस्त चर्च स्कुल
755	अलेक्झांड्रा सिनेमा
758	अगस्त क्रांती मैदान
759	गोदरेज चौक
762	गुड्स शेड
763	सी आणि डी. शेड कॉटन ग्रीन
764	बी.पी.टी.वसाहत (कॉटन ग्रिन)
768	भारत पेट्रोलीयम शिवडी
769	गोदरेज फुडस कंपनी
770	बी.पी.टी. वसाहत( वडाला -पूर्व)
771	बी.पी.टी. हॉस्पीटल( वडाला -पूर्व)
773	इ.एस.पटानवाला मार्ग
774	महानगरपालीका शाळा काळा चौकी
775	लोअर परेल वर्कशॉप
777	माहिम स्टेशन ( प)
780	फोनीक्स मील
781	के.व्ही.यादव चौक / लोअर परेल
785	अभ्युद्य बँक
804	साखर भवन
807	डॉ. भडकमकर चौक
808	गणेश टॉकीज लालबाग
809	कुंभार वाडा
810	आर.बी.आय वसाहत (चेंबुर)
811	मैत्री पार्क
812	आर. के. स्टुडीओ
815	व्ही. बी. फडके चौक/मेट्रो/धोबी तलाव
822	मिनर्व्हा टॉकीज
823	डॉ. शिरोडकर हाय स्कुल
824	नायगाव पोलीस वसाहत
825	बे.स्ट. वसाहत वडाळा
828	ताडदेव पुल
829	एस. पुल /मंडलीक चौक
830	बावळा मस्जिद
832	वनीता समाज / चैत्य भूमी
833	मेयर्स बंगला/ शिवाजी पार्क (कॅडेल रोड)
835	कपडा बाजार
837	आर.बी.आय बिकेसी
838	आयकर भवन बिकेसी
839	टाटा कॉलनी बांद्रा
840	भारत नगर बांद्रा
841	कुर्ला दुरध्वनी केंद्र बीकेसी
842	कपाडिया नगर
844	वडाळा गेट न. 2/5
845	गावदेवी पोलीस स्टेशन
846	अपना बाझार (परेल)
852	
858	रेलवे होटेल/ चर्नी रोड जंक्शन
859	ताडदेव बस स्थानक/रुषी मेहता चौक
860	शुक्लाजी रस्ता
862	एव्हरार्ड सोसायटी
863	वाळकेश्वर
864	तीन भट्टी
865	पारसी अग्यारी
866	व्हाइट हाउस
867	शितल बाग
868	तीन बाकडा
869	फोनीक्स रसायनी
870	आझाद फ्लोर मील
872	फणस वाडी 
873	कस्तुर्बा गांधी चौक
874	गुलाल वाडी / याद्नीक चौक
878	प्ले हाउस
879	टु टँक्स 
880	हसरत मोहानी चौक
881	मदन पुरा
884	सॅल्व्हेशन आर्मी नागपाडा
885	आग्रीपाडा
886	गोपालनगर
887	बॉम्बे डायींग
890	कीडवाइ रोड पोलीस स्थानक
891	खंबाटा लेन
898	साइबाबा रोड परेल
900	बांद्रा स्थानक रोड (प)
902	इन्कम टॅक्स कार्यालय मरीन लाइन्स
904	टोड्डी कंपनी/एम्पायर डायींग
905	कमला मील
906	कामगार मैदान
907	म्हात्रे पेन कंपनी
909	झारपकार स्टोर्स
910	गर्लस स्कुल
911	रुपारेल महाविद्यालय
912	मांटुगा स्थानक (प)
913	सरस्वती विद्या मंदिर
919	सर अली यावर जंग इंन्स्टीट्युट
921	हिल रोड गार्डन
922	सेंट. पीटर्स चर्च
924	बँक आफ इंडीया बांद्रा
925	बांद्रा पोलीस स्टेशन
928	धारावी  पुल 
931	माहिम फाटक
932	शाहु नगर
